Match Number,Round Number,Date,Location,Home Team,Away Team,Result
176,18,29/12/2023 20:45,Olimpico,Lazio,Frosinone,3 - 1
171,18,30/12/2023 12:30,Atleti Azzurri d'Italia,Atalanta,Lecce,1 - 0
172,18,30/12/2023 15:00,Unipol Domus,Cagliari,Empoli,0 - 0
179,18,30/12/2023 15:00,Friuli,Udinese,Bologna,3 - 0
177,18,30/12/2023 18:00,San Siro,Milan,Sassuolo,1 - 0
180,18,30/12/2023 18:00,Marcantonio Bentegodi,Hellas Verona,Salernitana,0 - 1
175,18,30/12/2023 20:45,Juventus Stadium,Juventus,Roma,1 - 0
181,19,05/01/2024 20:45,Renato Dall'Ara,Bologna,Genoa,1 - 1
184,19,06/01/2024 12:30,San Siro,Inter,Hellas Verona,2 - 1
183,19,06/01/2024 15:00,Benito Stirpe,Frosinone,Monza,2 - 3
185,19,06/01/2024 18:00,Ettore Giardiniero - Via del mare,Lecce,Cagliari,1 - 1
188,19,06/01/2024 20:45,Mapei Stadium - Città del Tricolore,Sassuolo,Fiorentina,1 - 0
182,19,07/01/2024 12:30,Carlo Castellani,Empoli,Milan,0 - 3
189,19,07/01/2024 15:00,Olimpico Grande Torino,Torino,Napoli,3 - 0
190,19,07/01/2024 15:00,Friuli,Udinese,Lazio,1 - 2
187,19,07/01/2024 18:00,Arechi,Salernitana,Juventus,1 - 2
186,19,07/01/2024 20:45,Olimpico,Roma,Atalanta,1 - 1
194,20,13/01/2024 15:00,Luigi Ferraris,Genoa,Torino,0 - 0
199,20,13/01/2024 15:00,Diego Armando Maradona,Napoli,Salernitana,2 - 1
200,20,13/01/2024 18:00,Marcantonio Bentegodi,Hellas Verona,Empoli,2 - 1
198,20,13/01/2024 20:45,Brianteo,Monza,Inter,1 - 5
196,20,14/01/2024 12:30,Olimpico,Lazio,Lecce,1 - 0
192,20,14/01/2024 15:00,Unipol Domus,Cagliari,Bologna,2 - 1
193,20,14/01/2024 18:00,Artemio Franchi,Fiorentina,Udinese,2 - 2
197,20,14/01/2024 20:45,San Siro,Milan,Roma,3 - 1
191,20,15/01/2024 20:45,Atleti Azzurri d'Italia,Atalanta,Frosinone,5 - 0
195,20,16/01/2024 20:45,Juventus Stadium,Juventus,Sassuolo,3 - 0
201,21,20/01/2024 18:00,Olimpico,Roma,Hellas Verona,2 - 1
205,21,20/01/2024 20:45,Friuli,Udinese,Milan,2 - 3
208,21,21/01/2024 12:30,Benito Stirpe,Frosinone,Cagliari,3 - 1
207,21,21/01/2024 15:00,Carlo Castellani,Empoli,Monza,3 - 0
